,ABW_0,ATT_0,ATT_1,ATT_8,BCT_0,BIK_0,BIK_4,CAN_0,DFT_0,EDI_0,EDI_4,JBW_0,JBW_4,MVY_0,MVY_4,MVY_8,NAB_0,NAB_1,NPO_0,SBN_0,SBN_6,THO_0,THO_4,THO_8
ABW_0,0.0,1.653900362859709,1.639810794020046,0.5634677502155583,1.4009746855943412,1.7575252248007434,2.3773811833171785,1.0740849915391464,3.0897966204713416,2.922918049706864,4.699229758032184,0.4223081174449447,2.460925566586882,2.8829897470428647,2.89215048326117,3.869786537795322,3.985636288151297,3.275403239243586,3.252255878988003,4.302006461776087,2.399146652609619,2.142355967926576,2.94771489835044,4.741478512203741
ATT_0,1.653900362859709,0.0,2.5396322629433787,2.9518870201434737,2.52369383381443,2.7770093008371104,3.8309471667849673,2.2709538428163114,2.513842010626877,3.630845307175336,3.489310416928338,1.5011129551170597,3.920505235027429,3.0198877630117904,2.5765360914698,4.138728152888872,3.8370534587529006,3.356155291267602,4.291216868148082,3.589195163291144,4.409921462164475,3.651597304537914,3.648604907865704,3.5269666125354453
ATT_1,1.639810794020046,2.5396322629433787,0.0,2.9492639377714944,2.5236938338144297,2.778727937136675,3.8282219770499872,2.266086406096409,2.4952471389467723,3.590608783419121,3.490474946839126,1.5010560531699106,3.920465600073913,2.550956797770052,3.004287313793325,3.7102697112971073,3.837053458752905,3.353314363819066,4.292371463759249,3.5532847473869045,4.410368139214762,3.67621822870901,3.6580005631132657,3.5269666125354475
ATT_8,0.5634677502155583,2.9518870201434737,2.9492639377714944,0.0,1.9413189401827649,2.1218616335911102,2.917106189293709,1.487059331834924,3.480236294984646,2.5714244247582845,5.810315977491268,1.1103429244738228,2.983863524466097,4.067394761465896,4.054699569072178,4.182636298485518,4.380767583263855,4.036671862814485,3.7321766220411967,4.834612680140145,1.7248755924012151,1.824489312215512,2.594297361829798,5.858225096491329
BCT_0,1.4009746855943412,2.52369383381443,2.5236938338144297,1.9413189401827649,0.0,1.92588589508328,2.0846632515715835,2.4977460802292364,1.533799872642828,3.995374079177456,4.094518203625137,1.738024087052564,2.057356045563448,2.6966121408775825,2.696612140877584,4.137139371753912,3.3073244519696536,2.2540990181744944,2.6554681949094188,2.7352220436799404,3.1447273288120767,3.1546237292260955,4.030152707025993,4.124824919320695
BIK_0,1.7575252248007434,2.7770093008371104,2.778727937136675,2.1218616335911102,1.92588589508328,0.0,1.7720931614626172,2.726946491100955,2.5333545156643225,2.883121278485968,3.489678877293729,1.5506050137300886,1.768530931291,2.866685096985935,3.0291125567998147,1.7621879415904784,4.451822775099248,2.9835661382934924,3.4051796081229884,3.4791453324087698,3.099085440696013,2.9856151909872035,2.915343425544332,3.515761648943089
BIK_4,2.3773811833171785,3.8309471667849673,3.8282219770499872,2.917106189293709,2.0846632515715835,1.7720931614626172,0.0,3.375232655096356,2.833610967181968,2.726751889848034,2.112173115906124,2.7543556500784505,0.0,2.7828930120009385,2.8021602808021457,2.88401291981237,4.43630290901593,2.9430699102291977,3.4773976192757976,2.803243646677088,2.1010914723635468,1.867712202222604,2.737473849650073,2.1137021751294487
CAN_0,1.0740849915391464,2.2709538428163114,2.266086406096409,1.487059331834924,2.4977460802292364,2.726946491100955,3.375232655096356,0.0,2.909169238754509,2.1484425494110844,5.551376819521036,1.6129450209259464,3.46532668582214,3.5111916047948384,3.3793535396611363,3.943301347648044,4.1859148686449945,3.869542287030971,2.8885237756672764,4.451444690240063,3.2841621249289776,2.990236446794744,2.1747192501775565,5.604647194286239
DFT_0,3.0897966204713416,2.513842010626877,2.4952471389467723,3.480236294984646,1.533799872642828,2.5333545156643225,2.833610967181968,2.909169238754509,0.0,2.203355750299488,2.917255487215509,2.61750336166202,2.915573257556766,3.282219670004885,3.336110250078076,3.8823762719685937,2.931471847203541,1.6867079390424458,4.169821891169641,1.7132488001788857,3.0124438781914744,2.9435066876515736,2.2225637736446946,2.965314493117948
EDI_0,2.922918049706864,3.630845307175336,3.590608783419121,2.5714244247582845,3.995374079177456,2.883121278485968,2.726751889848034,2.1484425494110844,2.203355750299488,0.0,4.864970568513256,3.460048489997425,2.970967897160236,3.885399556861937,3.88316361877444,4.2581685393260535,5.043454974691132,4.032580054675186,4.27677442127982,3.181586346711499,1.674190303675025,0.7593904450746511,0.0,4.913358134744691
EDI_4,4.699229758032184,3.489310416928338,3.490474946839126,5.810315977491268,4.094518203625137,3.489678877293729,2.112173115906124,5.551376819521036,2.917255487215509,4.864970568513256,0.0,4.430397294400087,2.349505676096514,3.989227971117225,4.022386182070126,3.906975407026663,4.425880383441561,3.052013780586528,5.251514812807783,2.1759502057766675,5.133793763142659,4.118559874032099,4.9128233534614,0.0
JBW_0,0.4223081174449447,1.5011129551170597,1.5010560531699106,1.1103429244738228,1.738024087052564,1.5506050137300886,2.7543556500784505,1.6129450209259464,2.61750336166202,3.460048489997425,4.430397294400087,0.0,2.8364799575264263,2.10241334492695,2.137725748436038,3.088550526694513,4.023500641062233,3.64371265689201,3.4122665173855604,4.210018906677257,2.938683435932021,2.732700980428634,3.5431122950382954,4.492254575046726
JBW_4,2.460925566586882,3.920505235027429,3.920465600073913,2.983863524466097,2.057356045563448,1.768530931291,0.0,3.46532668582214,2.915573257556766,2.970967897160236,2.349505676096514,2.8364799575264263,0.0,2.896990117204935,2.873236897627364,3.017330809180368,4.225769117180874,2.8948014485047406,3.1337008439793417,3.044090268290676,2.116984872487364,2.1146580478446166,2.984584303605791,2.350873565161187
MVY_0,2.8829897470428647,3.0198877630117904,2.550956797770052,4.067394761465896,2.6966121408775825,2.866685096985935,2.7828930120009385,3.5111916047948384,3.282219670004885,3.885399556861937,3.989227971117225,2.10241334492695,2.896990117204935,0.0,3.8181334617669145,3.7947524720877386,4.168473655149056,3.997137952540282,3.534364312012033,4.1055074904758575,4.169000756412182,3.861420944826276,4.105290246368169,4.029680237594348
MVY_4,2.89215048326117,2.5765360914698,3.004287313793325,4.054699569072178,2.696612140877584,3.0291125567998147,2.8021602808021457,3.3793535396611363,3.336110250078076,3.88316361877444,4.022386182070126,2.137725748436038,2.873236897627364,3.8181334617669145,0.0,3.606842004302506,4.168473655149052,3.92167123071293,3.5865644929765708,4.011413187104443,4.168184952687145,3.8541648756570144,4.103365413928943,4.029680237594346
MVY_8,3.869786537795322,4.138728152888872,3.7102697112971073,4.182636298485518,4.137139371753912,1.7621879415904784,2.88401291981237,3.943301347648044,3.8823762719685937,4.2581685393260535,3.906975407026663,3.088550526694513,3.017330809180368,3.7947524720877386,3.606842004302506,0.0,5.172126193033956,3.9030127095745537,3.838690179419119,4.475440448066267,3.7462235738896874,4.1916493237377885,4.133885763968977,3.956694829600817
NAB_0,3.985636288151297,3.8370534587529006,3.837053458752905,4.380767583263855,3.3073244519696536,4.451822775099248,4.43630290901593,4.1859148686449945,2.931471847203541,5.043454974691132,4.425880383441561,4.023500641062233,4.225769117180874,4.168473655149056,4.168473655149052,5.172126193033956,0.0,1.3791737811196083,3.4124640879623223,2.236664319669868,4.604389028818477,5.243001428962455,5.0977578788302695,4.493483044417505
NAB_1,3.275403239243586,3.356155291267602,3.353314363819066,4.036671862814485,2.2540990181744944,2.9835661382934924,2.9430699102291977,3.869542287030971,1.6867079390424458,4.032580054675186,3.052013780586528,3.64371265689201,2.8948014485047406,3.997137952540282,3.92167123071293,3.9030127095745537,1.3791737811196083,0.0,2.729940616964282,0.9328890842136875,3.0677819118084457,3.943514539321843,3.9258292805144337,3.122713086850204
NPO_0,3.252255878988003,4.291216868148082,4.292371463759249,3.7321766220411967,2.6554681949094188,3.4051796081229884,3.4773976192757976,2.8885237756672764,4.169821891169641,4.27677442127982,5.251514812807783,3.4122665173855604,3.1337008439793417,3.534364312012033,3.5865644929765708,3.838690179419119,3.4124640879623223,2.729940616964282,0.0,3.4380523764158437,4.43702017850309,4.604551104300724,4.343402133800562,5.460014044053101
SBN_0,4.302006461776087,3.589195163291144,3.5532847473869045,4.834612680140145,2.7352220436799404,3.4791453324087698,2.803243646677088,4.451444690240063,1.7132488001788857,3.181586346711499,2.1759502057766675,4.210018906677257,3.044090268290676,4.1055074904758575,4.011413187104443,4.475440448066267,2.236664319669868,0.9328890842136875,3.4380523764158437,0.0,4.14706409795622,3.1860666720616018,3.103467753772801,2.204958857019117
SBN_6,2.399146652609619,4.409921462164475,4.410368139214762,1.7248755924012151,3.1447273288120767,3.099085440696013,2.1010914723635468,3.2841621249289776,3.0124438781914744,1.674190303675025,5.133793763142659,2.938683435932021,2.116984872487364,4.169000756412182,4.168184952687145,3.7462235738896874,4.604389028818477,3.0677819118084457,4.43702017850309,4.14706409795622,0.0,0.938195857756349,1.6863690055496143,5.183767616468501
THO_0,2.142355967926576,3.651597304537914,3.67621822870901,1.824489312215512,3.1546237292260955,2.9856151909872035,1.867712202222604,2.990236446794744,2.9435066876515736,0.7593904450746511,4.118559874032099,2.732700980428634,2.1146580478446166,3.861420944826276,3.8541648756570144,4.1916493237377885,5.243001428962455,3.943514539321843,4.604551104300724,3.1860666720616018,0.938195857756349,0.0,0.7657870961014801,4.165719657959706
THO_4,2.94771489835044,3.648604907865704,3.6580005631132657,2.594297361829798,4.030152707025993,2.915343425544332,2.737473849650073,2.1747192501775565,2.2225637736446946,0.0,4.9128233534614,3.5431122950382954,2.984584303605791,4.105290246368169,4.103365413928943,4.133885763968977,5.0977578788302695,3.9258292805144337,4.343402133800562,3.103467753772801,1.6863690055496143,0.7657870961014801,0.0,4.953589146939489
THO_8,4.741478512203741,3.5269666125354453,3.5269666125354475,5.858225096491329,4.124824919320695,3.515761648943089,2.1137021751294487,5.604647194286239,2.965314493117948,4.913358134744691,0.0,4.492254575046726,2.350873565161187,4.029680237594348,4.029680237594346,3.956694829600817,4.493483044417505,3.122713086850204,5.460014044053101,2.204958857019117,5.183767616468501,4.165719657959706,4.953589146939489,0.0
